Business_Type,Gender,Organization_Name,State,City_Region,Founded,Players_Participants,Website,Instagram_Handle,Instagram_Followers,Facebook_Page,Facebook_Followers,Twitter_X,Head_Name,Head_Title,Email,Phone,Est_Annual_Revenue_USD,Revenue_Notes
NONPROFIT,Co-ed,Junior Football League of Central Illinois (JFLOCI),IL,Peoria Heights IL,1967,N/A,https://www.jfloci.com,N/A,N/A,JFLOCI,2862 (combined),,Zo Evans,Executive Director,N/A,309-682-8910,$300000,501c3; founded 1967 (57 yrs); ages 5-14; flag + tackle + cheer; 506 E. Marietta Peoria Heights IL 61616
NONPROFIT,Co-ed,Indianapolis Colts Flag Football Network,IN,Indiana statewide,2023,N/A,https://www.colts.com/footballdevelopment/flag/flag-network,@colts,1000000,Indianapolis Colts,2018142,,N/A,NFL Team Director,N/A,N/A,$480000,NFL team partnership; 10+ NFL FLAG leagues statewide; ages 4-14; est. ~2000 players x $120/player
NONPROFIT,Co-ed,YMCA Greater Des Moines Flag Football,IA,Des Moines IA,2022,508+ registrants,http://m.dmymca.org/sports-activities/flag-football,@dmymca,3852,YMCA of Greater Des Moines,N/A,,N/A,Sports Director,N/A,N/A,$80000,508 players x $159/season; K-8; 7-game season June-August
NONPROFIT,Co-ed,NFL FLAG Wichita,KS,Wichita KS,N/A,N/A,https://www.wichita.gov/455/NFL-FLAG-Wichita,@wichitaflag,11000,City of Wichita Parks & Rec,N/A,,Mickey Lara,Coaching Contact,N/A,316-268-4123,$480000,Ages 4-17; City Parks & Rec municipal program; 6v6; est. ~2000 players x $120/player
NONPROFIT,Co-ed,YMCA Greater Kansas City Chiefs FLAG,KS/MO,Kansas City (Lawrence/Shawnee KS + MO counties),N/A,N/A,https://kansascityymca.org/programs/youth-sports/chiefs,@ymcakansascity,3307,YMCA of Greater Kansas City,N/A,,N/A,Sports Director,N/A,N/A,$600000,KC Chiefs partnership; ages 5-12; Chiefs jerseys + KC Wolf appearances; est. ~2500 players x $120/player
NONPROFIT,Co-ed,Boys & Girls Clubs Greater KC Flag Football,KS/MO,Kansas City MO/KS,N/A,N/A,https://www.bgc-gkc.org/sports/flagfootball,@helpkckids,2206,helpKCkids,N/A,,Kary Kankey,Contact,kkankey@helpkckids.org,N/A,$120000,Ages 5-12; $25/player (subsidized); 8-game season; est. ~500 players x $25/player
NONPROFIT,Co-ed,The Gridiron C.R.I.B.,KY,Louisville KY + Southern Indiana,N/A,N/A,https://www.thegridironcrib.com,@thegridironcrib,N/A,The Gridiron CRIB,1800,,N/A,Director,N/A,N/A,$360000,501c3; ages 7U-17U; Colts Flag Football Network partner; est. ~1500 players x $120/player
NONPROFIT,Co-ed,YMCA Greater Louisville Flag Football,KY,Louisville KY,N/A,508+ registrants (recent yr),https://www.ymcalouisville.org/programs/youth-sports/flag-football,@ymca_louisville,3361,YMCA Louisville,N/A,,N/A,Sports Director,N/A,N/A,$80000,501c3; ages 5-11; 508 players; est. ~508 players x $159/season
NONPROFIT,Co-ed,Fern Creek Optimist NFL Flag,KY,Louisville KY,1953,N/A,https://www.ferncreekoptimist.org,@fern.creek.optimist,58,Fern Creek Optimist Club,1273,,N/A,Director,N/A,N/A,$84000,501c3 since 1953; 5v5 non-contact; U6/U8/U10/U14; 8925 Smith Lane Louisville KY 40291
NONPROFIT,Co-ed,YMCA Central Kentucky,KY,Lexington / Frankfort KY,N/A,N/A,https://ymcacky.org,@ymcaofcentralkentucky,3692,YMCA of Central Kentucky,14989,,Kamren Young,Sports Contact,kyoung@ymcacky.org,859-367-7515,$240000,501c3; ages 4-14; 7 practices + 6 games; Sundays; co-ed NFL FLAG
NONPROFIT,Co-ed,Northern Kentucky Youth Football League (NKYFL),KY,Boone/Kenton/Campbell/Gallatin/Pendleton/Grant counties KY,1958,N/A,https://www.nkyfl.net,N/A,N/A,NKYFL,6198,@NKYFL,N/A,Director,N/A,N/A,$720000,501c3 (EIN 23-7203080); since 1958 (66 yrs); 19 member orgs; 24 Fairfield Ave Bellevue KY 41073
NONPROFIT,Co-ed,Southern Maryland Youth Flag Football League (SMYFFL),MD,White Plains / Charles County MD,2005,1600+ athletes,https://www.smyffl.com,@smyffl,1114,SMYFFL,2825,@SMYFFL,Reggie Barksdale,Owner/Commissioner,N/A,N/A,$384000,2024 NFL FLAG League of the Year; ages 4-17; spring + fall seasons; 1600 athletes x ~$120/player
NONPROFIT,Co-ed,St. Mary's County Youth Sports NFL Flag,MD,St. Mary's County MD,2008,500+ kids,https://smcys.org,N/A,N/A,St. Mary's County Youth Sports,N/A,,N/A,Director,STMYFFL@gmail.com,N/A,$120000,500+ kids x $120/player; Elite League + All-Girls League available
NONPROFIT,Co-ed,NFL FLAG Baltimore Ravens,MD,Maryland statewide (5 locations),N/A,N/A,https://www.baltimoreravens.com/fans/rise/nflflag/,@ravens,1900000,Baltimore Ravens,2200000,,N/A,Ravens Community Director,N/A,N/A,$480000,5 MD locations; ages 4-14; est. ~2000 players x $120/player
NONPROFIT,Co-ed,Newton Area Flag Football League (NAFFL),MA,Newton MA,N/A,N/A,https://www.newtonareaflagfootball.com,@newtonflag,N/A,Newton Area Flag Football,N/A,,Jacob Groshek,Head Coach / Director,N/A,N/A,$240000,NFL FLAG nationals qualifier; multiple championship-level teams; asst Coach Ian; est. ~1000 players x $120/player
NONPROFIT,Co-ed,Hill House Boston NFL Flag Football,MA,Boston (South End - Carter Playground Bubble) MA,N/A,N/A,https://www.hillhouseboston.org,N/A,N/A,Hill House Boston,N/A,,N/A,Director,N/A,N/A,$120000,Scholarship program available; co-ed; Sept-Nov; Jan-Feb indoor; est. ~500 players x $120/player
NONPROFIT,Co-ed,Western Mass Youth Flag Football,MA,Western Massachusetts,N/A,N/A,https://www.westernmassyouthflagfootball.com,@westernmassyouthflag,N/A,Western Mass Youth Flag Football,N/A,,N/A,Director,N/A,N/A,$180000,Ages 4-17; boys + girls; est. ~750 players x $120/player
NONPROFIT,Co-ed,Leominster NFL FLAG,MA,Leominster MA,N/A,N/A,https://www.leominsterflag.com,N/A,N/A,Leominster NFL FLAG,N/A,,N/A,Director,N/A,N/A,$120000,Est. ~500 players x $120/player
NONPROFIT,Co-ed,NFL FLAG Michigan,MI,Metro Detroit (23 locations) MI,N/A,N/A,https://www.michiganyouthflagfootball.com,@michiganyouthflagfootball,N/A,NFL FLAG Michigan,N/A,,N/A,Director,N/A,N/A,$1200000,Detroit Lions partner; 23 locations; est. ~5000 players x $120/player
NONPROFIT,Co-ed,Michigan Made Youth Flag Football,MI,Midland/Marysville/Pigeon/Port Austin MI,N/A,N/A,https://www.michiganmade.net/youthflag,@michiganmadeflagfootball,166,Michigan Made Football,N/A,,N/A,Director,N/A,N/A,$120000,All seasons; all skill levels; est. ~500 players x $120/player
NONPROFIT,Co-ed,National Flag Football NFF Michigan,MI,Dearborn / Lansing / Romeo MI,2006,N/A,https://www.nationalflagfootball.com,@nationalflagfootball,2100,National Flag Football,3700,,N/A,Director,N/A,N/A,$360000,NFF Michigan locations; est. ~1500 players x $120/player
NONPROFIT,Co-ed,Minnesota Vikings Community Flag Football,MN,Twin Cities + statewide MN,2022,N/A (104 schools + community),https://www.vikings.com/community/youth-football/nfl-flag/,@vikingsfootball,1500000,Minnesota Vikings,4500000,,N/A,Vikings Community Director,N/A,N/A,$600000,NFL team partnership; PreK-8 community + HS girls; est. ~2500 community players x $120/player
NONPROFIT,Co-ed,Mississippi Gulf Coast YMCA Flag Football,MS,Gulf Coast MS,N/A,N/A,https://www.mgcymca.org,N/A,N/A,MS Gulf Coast YMCA,N/A,,N/A,Youth Sports Director,N/A,N/A,$120000,NFL FLAG program; est. ~500 players x $120/player
NONPROFIT,Co-ed,New Mexico Young America Football League (NMYAFL),NM,Albuquerque (Bernalillo to Grants) NM,1966,3500+ annually,https://nmyafl.org,N/A,N/A,NMYAFL,703,,N/A,Director,N/A,N/A,$420000,501c3 (EIN 85-0206968); since 1966 (58 yrs); flag + tackle; spring + fall; 3500 players x ~$120/player
NONPROFIT,Co-ed,NFL Flag New Mexico,NM,Albuquerque NM (statewide),2021,1300+ participants; 750+,https://www.nflflag-nm.com,@nflflag.nm,727,NFL Flag NM,N/A,,James Martinez,Head Coach / Director,N/A,N/A,$312000,2022 NFL FLAG Rookie Org of the Year; Co-coach: Tia Martinez (all-girls teams); 750+ players x ~$120/player
NONPROFIT,Co-ed,NYC Police Athletic League (PAL) Flag Football,NY,New York City NY,1914,20000+ youth annually (all sports),https://palnyc.org/flag-football,@palnewyork,3710,PAL New York,4572,@PALNewYork,N/A,Director,N/A,N/A,$480000,NYC Jets partnership (since 2018); ages 9-14; Cops & Kids Flag Football program; 501c3
NONPROFIT,Co-ed,Downtown Giants Youth Sports,NY,New York City NY,N/A,1000+ youth,https://downtowngiants.com,@downtowngiantsnyc,1605,Downtown Giants NYC,N/A,,N/A,Director,N/A,N/A,$240000,501c3 (EIN 20-8429489); NY Giants NFL FLAG; est. ~1000 players x $120/player
NONPROFIT,Co-ed,Long Island Flag Football League (LIFFL),NY,Long Island NY,1984,N/A,https://liffl.com,@long_island_flag_football,5471,LIFFL,N/A,,N/A,Director,N/A,N/A,$480000,First official flag football league (1984); 40+ years; est. ~2000 players x $120/player
NONPROFIT,Co-ed,Mad Dog NFL Flag Football (Westchester),NY,Westchester County NY,N/A,N/A,https://www.maddognflflag.com,@maddognflflag,605,Mad Dog NFL Flag,N/A,,N/A,Director,N/A,N/A,$240000,Est. ~1000 players x $120/player; Westchester NY
NONPROFIT,Co-ed,Carolina United Flag Football Club,NC,Raleigh NC,N/A,N/A,https://cuflag.org,@carolinaunitedflag,N/A,Carolina United Flag Football,N/A,,N/A,Director,Info@cuflag.org,N/A,$240000,Nationally ranked Pro Women + 23U Select + 18U HS Girls teams; est. ~1000 players x $120/player
NONPROFIT,Co-ed,Triangle Flag Football League,NC,Raleigh NC + Triangle area,2018,N/A,https://triangleflag.com,@triangleflagfootball,N/A,Triangle Flag Football League,N/A,,N/A,Director,N/A,N/A,$480000,501c3; acquired by Unrivaled Sports (Josh Harris); est. ~2000 players x $120/player
NONPROFIT,Co-ed,Garner Sports League (GSL) Flag Football,NC,Garner NC,N/A,N/A,https://garnerfootball.com,N/A,N/A,GSL Football,N/A,,N/A,Director,N/A,N/A,$480000,501c3; volunteer-run; ages 3-18; est. ~2000 players x $120/player
NONPROFIT,Co-ed,Charlotte Premier Sports League,NC,Charlotte NC,N/A,N/A,https://www.charlottepremiersports.com,N/A,N/A,Charlotte Premier Sports,N/A,,N/A,Director,N/A,N/A,$480000,Rec + elite flag; ages 4-17; est. ~2000 players x $120/player
NONPROFIT,Co-ed,National Flag Football (NFF) Ohio,OH,Canton + statewide OH,2006,N/A,https://www.nationalflagfootball.com,@nationalflagfootball,2100,National Flag Football,3700,,N/A,Director,N/A,N/A,$600000,Pro Football Hall of Fame Summer Nationals; ages 6-17; 25 states + 3 countries; est. ~2500 players
NONPROFIT,Co-ed,Titans NFL FLAG,TN,Columbia/Goodlettsville/Kingston-Roane/Murfreesboro/South Nashville TN,N/A,2000+ kids,https://www.titansflagfootball.com,@titansflagfootball,N/A,Titans Flag Football,N/A,,N/A,Director,N/A,N/A,$480000,Tennessee Titans/RCX Sports; 5 locations; ages 4-14; 7-week season; Titans-branded jerseys
NONPROFIT,Co-ed,Murfreesboro Football League Flag Division,TN,Murfreesboro TN,N/A,N/A,https://www.murfreesborotn.gov/474/Flag-Football,N/A,N/A,Murfreesboro Flag Football,N/A,,N/A,Director,N/A,N/A,$240000,Longest-running youth football program in Murfreesboro; ages 5-13; est. ~1000 players x $120/player
NONPROFIT,Co-ed,South Dakota Junior Football (SDJRFB),SD,Sioux Falls + Yankton SD,N/A,N/A,https://www.sdjrfb.com,N/A,N/A,SD Junior Football,N/A,,N/A,Director,N/A,N/A,$360000,Sanford Sports Complex (Sioux Falls) + Summit Football Complex (Yankton); K-8; flag + tackle
NONPROFIT,Co-ed,Siouxland YMCA NFL FLAG,SD,Sioux Falls SD,N/A,N/A,https://www.nwsymca.org/flag-football,N/A,N/A,Siouxland YMCA,N/A,,N/A,Director,N/A,N/A,$120000,K-9th grade; official NFL team jerseys; est. ~500 players x $120/player
NONPROFIT,Co-ed,Spirit Football Omaha,NE,Omaha/Gretna/Papillion/LaVista/Ralston/Bellevue NE,1977,N/A,https://www.spirit-football.com,@spiritfootball_ne,N/A,Spirit Football,1213,,N/A,Director,N/A,402-807-3480,$600000,7X National Champion; 47+ years; NFL FLAG + competitive 7v7; ages 5-18; est. ~2500 players x $120/player
NONPROFIT,Co-ed,Millard United Sports,NE,Millard NE (Omaha metro),2016,10000+ youth,https://www.millardunited.com,@millardunited,1397,Millard United Sports,N/A,@MillardUnited,Jenny Cuykendall / Russ Hendrix / Troy Streeter,Coaching Coordinator / Contacts,jcukendall@millardunited.com,N/A,$1200000,10000+ youth; merged 1940 + 1971 orgs; PreK-2 flag; NFL FLAG rules; est. 10000 multi-sport x ~$120/player
NONPROFIT,Co-ed,Gretna Youth Sports Foundation (GYSF),NE,Gretna NE,N/A,784 participants; 54 teams,http://www.gretnayouthfootball.com,@gretnayouthfootball_gysf,211,Gretna Youth Sports Foundation,1500,,N/A,Director,N/A,N/A,$189000,501c3 (EIN 73-1638010); 54 teams ~14 players avg; flag + tackle + cheer
NONPROFIT,Co-ed,Vegas Sports Foundation / NFL FLAG Las Vegas,NV,Las Vegas NV,2018,N/A,https://www.vegasflag.com,@vegasflag,2361,Vegas Sports Foundation,3700,,N/A,Director,N/A,N/A,$480000,501c3; ages 5-14 youth + girls 5-17; est. ~2000 players x $120/player
NONPROFIT,Co-ed,New Hampshire Youth Football & Spirit Conference,NH,Statewide NH,N/A,4000+,https://www.nhyfsc.org,N/A,N/A,NHYFSC,2645,,N/A,Director,N/A,N/A,$480000,501c3; 4000+ boys and girls; flag + tackle + cheer; est. ~2000 flag players x $120/player
NONPROFIT,Co-ed,Bedford Bulldogs Youth Football,NH,Bedford NH,2017,N/A,https://bedfordbulldogs.org,@bhsfootballnh,670,Bedford Youth Football and Cheer Bulldogs,1227,@BHSBulldogs,N/A,Director,N/A,N/A,$120000,501c3 (Booster Club); ages 5-15; merged Bedford Jr Bulldogs + Jaguars Feb 2017; est. ~500 players x $120/player
NONPROFIT,Co-ed,South Jersey NFL FLAG,NJ,Ocean County NJ,2011,N/A,https://www.sjnflfl.com,@sjnfl.flagfootball,1645,SJNFL Flag Football,N/A,@sjnflfl,N/A,Director,N/A,N/A,$360000,501c3; NFL FLAG 5-on-5; est. ~1500 players x $120/player
NONPROFIT,Co-ed,South Jersey Youth Flag Football (SJYFF),NJ,Gloucester County NJ,N/A,N/A,https://sjyff.flagfootballnj.com,@sjnfl.flagfootball,1645,South Jersey Youth Flag Football,1500,,N/A,Director,sjyffofgc@gmail.com,856-796-2877,$600000,One of largest youth flag programs in NJ; est. ~2500 players x $120/player
NONPROFIT,Co-ed,Northern Virginia Youth Football League (NVYFL),VA,Arlington/Fairfax/Loudoun/Prince William counties VA,1966,N/A,https://www.nvyfl.org,N/A,N/A,NVYFL,N/A,,N/A,Director,N/A,N/A,$1200000,One of largest independent youth football leagues; 17 programs; 1966 (58 yrs); est. ~5000 players x $120/player
NONPROFIT,Co-ed,Washington Commanders NFL FLAG,VA/DC/MD,DMV (DC/Virginia/Maryland),N/A,N/A,https://www.commanders.com/youth-football/flag-football,N/A,N/A,Washington Commanders,N/A,,N/A,Commanders Community Director,N/A,N/A,$600000,$1M NFL donation; 127 girls flag programs across DMV; 2nd-9th grades; Flag Star Football partner
NONPROFIT,Co-ed,Seattle Seahawks Flag Football League,WA,Bellevue/Bothell/Kent/Renton/Sammamish/Seattle/Tacoma/Tri-Cities WA,N/A,N/A,https://www.seahawkflagfootball.com,@seahawksflag,2133,Seahawks Flag Football,391,,N/A,Seahawks Community Director,N/A,N/A,$960000,NFL Seahawks partnership; ages 4-14; 5v5; 8 WA locations; est. ~4000 players x $120/player
NONPROFIT,Co-ed,Green Bay Packers NFL FLAG / Girls League,WI,Green Bay + Racine/Kenosha/Whitefish Bay WI,N/A,52 teams at regional tournament,https://www.packers.com/community/football-outreach,@packers,N/A,Green Bay Packers,N/A,,N/A,Packers Community Director,N/A,N/A,$600000,NFL Packers; 5th year regional tournament 2026; $100K to 20 WI high schools; Girls inaugural HS league summer 2026
NONPROFIT,Co-ed,New Hampshire Flag Football League,NH,Statewide NH,N/A,N/A,https://www.nhffl.com,N/A,N/A,NH Flag Football League,N/A,,N/A,Director,N/A,N/A,$120000,Est. ~500 players x $120/player
NONPROFIT,Co-ed,YMCA Huntington Flag Football,WV,Huntington WV,N/A,N/A,N/A,N/A,N/A,YMCA Huntington,N/A,,Darian Shackelford,Youth Sports Contact,dshackelford@huntingtonymca.org,304-697-7113,$120000,NFL youth flag jersey included; est. ~500 players x $120/player
NONPROFIT,Co-ed,Casper Junior Football League,WY,Casper WY,2014,N/A,https://www.casperjrfootball.com,N/A,N/A,Casper Junior Football League,1252,,N/A,Director,casperjrfootball@gmail.com,N/A,$120000,501c3 (2014); flag + tackle + cheer; est. ~500 players x $120/player
NONPROFIT,Co-ed,Cheyenne Youth Flag Football,WY,Cheyenne WY,N/A,N/A,https://www.cheyenneyouthflagfootball.org,N/A,N/A,Cheyenne Youth Flag Football,266,,N/A,Director,cheyenneflagfootball@gmx.com,307-217-4011,$72000,Character development focus; est. ~300 players x $120/player
NONPROFIT,Co-ed,Missoula Youth Football (MYF) Flag Division,MT,Missoula MT,N/A,168 flag players (2024),https://www.missoulayouthfootball.org,@missoulayouthfootball,273,Missoula Youth Football,2400,,Nonie Cobb,Volunteer Coordinator,cobbn@ci.missoula.mt.us,N/A,$40000,501c3; 168 flag players (Grades 3-4) x $120/player; 2024 data
NONPROFIT,Co-ed,Billings YMCA NFL Flag Football,MT,Billings MT,1905 (YMCA),135+ (Laurel area),http://billingsymca.org,@billingsymca,N/A,Billings Family YMCA,7600,,N/A,Director,N/A,N/A,$60000,501c3; K-7 flag; 2nd-5th grade divisions; est. ~250 players x $120/player
NONPROFIT,Co-ed,Livingston Rec Falcons Youth Flag Football,MT,Livingston MT,N/A,N/A,https://www.livingstonmontana.org/rec/page/livingston-rec-falcons-youth-flag-football,N/A,N/A,Livingston Recreation Dept,1556,,Maggie Tarr,Recreation Director,N/A,406-223-2233,$36000,FREE league; NFL Falcons (Atlanta) partnership; Grades 1-6; 229 River Drive Livingston MT 59047; est. ~300 players
NONPROFIT,Co-ed,Next Level Flag Football Bozeman (Montana State),MT,Bozeman MT (Montana State University),N/A,N/A,https://www.nextlevelsports.com,@nextlevelrecsports,363,Next Level Sports,N/A,@nextlevel_flag,Jesse Mosser / Derek Griebel,MSU Asst Coaches / Program Leads,N/A,N/A,$60000,4th season at MSU; Bobcat Stadium venue; est. ~250 players x $120/player
NONPROFIT,Co-ed,Teamwork Sports Nebraska,NE,Omaha NE,N/A,N/A,https://www.teamworksportsne.com/flag-football,@teamworksportsne,194,Teamwork Sports,971,,N/A,Director,N/A,N/A,$120000,Ages 4-12; no cuts/tryouts; equal playing time; est. ~500 players x $120/player
NONPROFIT,Girls,Detroit Lions High School Girls Flag Football League,MI,Metro Detroit MI,2024,600+ girls,https://www.detroitlions.com,@detroitlions,N/A,Detroit Lions,N/A,,N/A,Lions Community Director,N/A,N/A,$180000,Second season 2025; 600+ girls; NFL + Lions Foundation funded; no player registration fee
NONPROFIT,Girls,Minnesota Vikings Girls Flag Football League,MN,Minnesota statewide (104 schools),2024,N/A (104 schools),https://www.vikings.com/community/youth-football/girls-flag/,@flag_football_mn_vikings,393,Vikings Flag Football League,N/A,,N/A,Vikings Community Director,N/A,N/A,$600000,NFL + Vikings Foundation; $600K+ investment; doubled to 104 schools 2026; no player fee; 5v5 format
NONPROFIT,Girls,Dallas Cowboys High School Girls Flag Football,TX,Dallas-Fort Worth TX (54 schools),2023,N/A (54 DFW schools),https://www.dallascowboys.com,@dallascowboys,N/A,Dallas Cowboys,N/A,,N/A,Cowboys Community Director,N/A,N/A,$300000,NFL Cowboys Foundation; 54 DFW area schools; no player fee
NONPROFIT,Girls,PSAL Girls Varsity Flag Football (NY Jets partnership),NY,New York City NY,2011,N/A (~60 schools),https://www.psal.org,@psal_nyc,N/A,PSAL NYC,N/A,,N/A,PSAL Director / Jets Partner,N/A,N/A,$240000,Grew from 31 to ~60 NYC public schools; NY Jets partnership (since 2018); created 2011 by PSAL + Jets
NONPROFIT,Girls,GHSA Girls Flag Football,GA,Georgia statewide (407 public + 56 private HS),2020,N/A,https://www.ghsa.net/flag-football,@officialghsa,35000,Georgia High School Association,N/A,@OfficialGHSA,N/A,GHSA Director,N/A,N/A,$500000,501c3 (est. 1904); 4th state to sanction (2020); Atlanta Falcons + Arthur Blank Foundation
NONPROFIT,Girls,Connecticut Flag Football League CT Lady Matrix,CT,Connecticut statewide,2018,N/A,https://www.ctflagfootball.com,@ct_flag,9577,CT FLAG,4300,@CTFlagFootball,Jessica Nash,CT Elite President,ctflag@gmail.com,860-263-9259,$96000,Girls travel program; 8U/10U/12U/14U/HS; President: Brandon Jubrey
NONPROFIT,Girls,BHC Flag Football Maryland,MD,Maryland statewide,N/A,N/A,https://bhcyouth.com,@bhcyouth,N/A,BHC Youth,N/A,,N/A,Director,N/A,N/A,$240000,Maryland's Premier All-Girls Flag Football (Nike powered); est. ~1000 girls x $120/player
NONPROFIT,Girls,Louisville Girls Flag Football,KY,Louisville KY,N/A,N/A,https://www.louisvillekyflag.com,@loukygirlsflag,615,Louisville Girls Flag Football,N/A,,N/A,Director,N/A,N/A,$120000,Louisville's ONLY girls flag org; fastest-growing; est. ~500 girls x $120/player
NONPROFIT,Girls,New England Flag Football All-Girls,MA,Peabody / North Shore MA,N/A,N/A,https://www.newenglandflagfootball.com,N/A,N/A,New England Flag Football,N/A,,Christopher Lanning,Head Coach (Peabody HS),N/A,N/A,$120000,All-girls Sat leagues (ages 12-15); Peabody 14U team qualified for NFL FLAG Nationals; est. ~500 girls
NONPROFIT,Girls,Fargo Park District Girls Flag Football (Vikings),ND,Fargo + West Fargo + Moorhead ND,2025,N/A (first HS girls program in ND),https://www.fargoparks.com,N/A,N/A,Fargo Parks District,N/A,,N/A,Park District Director,N/A,N/A,$60000,First official HS girls flag football program in ND; Minnesota Vikings sponsor; 8-week season
NONPROFIT,Girls,CIF Girls Flag Football (California statewide),CA,California statewide,2021,N/A,https://www.cif.org,N/A,N/A,California Interscholastic Federation,N/A,,N/A,CIF Director,N/A,N/A,$1000000,CIF unanimously sanctioned varsity sport; all 3 CA NFL teams support; MaxPreps statewide coverage
NONPROFIT,Girls,Cali Queens SD,CA,Spring Valley/La Mesa/Lemon Grove/El Cajon CA,N/A,N/A,https://www.flagfootballfinder.com/organizations/cali-queens-sd,N/A,N/A,Cali Queens SD,N/A,,N/A,Director,N/A,N/A,$60000,All-girls; ages 8U-HS; San Diego area; est. ~250 girls x $120/player
NONPROFIT,Girls,Vanguard Elite FFC,CA,Oxnard CA (Southern California),N/A,N/A,https://www.flagfootballfinder.com/flag-football-team/vanguard-elite-ffc,N/A,N/A,Vanguard Elite FFC,N/A,,N/A,Director,N/A,N/A,$60000,Girls flag; discipline/teamwork/leadership; est. ~250 girls x $120/player
NONPROFIT,Girls,Desert Reign Flag Football,NM,Albuquerque NM,N/A,N/A,https://www.flagfootballfinder.com/organizations/desert-reign-flag-football,N/A,N/A,Desert Reign Flag Football,N/A,,Eric Cerda,Coach/Director,N/A,N/A,$60000,All-girls + co-ed; middle school through HS; college scholarship earned by one player
NONPROFIT,Girls,Michigan Inclusive Flag Football League (MIFFL),MI,Metro Detroit / Ferndale MI,N/A,N/A,https://miffl.org,@michiganinclusiveflagfootball,278,Michigan Inclusive FFL,N/A,,N/A,Director,N/A,N/A,$36000,LGBTQIA+ inclusive; Women+ division; nonprofit; est. ~150 players x $120/player
NONPROFIT,Girls,Long Island Rush Flag Football,NY,Long Island NY,N/A,N/A,N/A,N/A,N/A,Long Island Rush Flag Football,N/A,,N/A,Director,N/A,N/A,$60000,Girls-only travel program; Long Island NY; est. ~250 girls x $120/player
NONPROFIT,Girls,Carolina Panthers Challenger Flag Football,NC,Raleigh + Charlotte NC,N/A,N/A,https://www.panthers.com/community/challenger-flag-football-home,@panthers,N/A,Carolina Panthers,N/A,,Christen Winstead (Raleigh) / Hayley Scanlan + Hailey White (Charlotte),Program Directors / Therapeutic Recreation Specialists,Christen.Winstead@raleighnc.gov,919-996-2111,$120000,NFL Panthers partnership; Raleigh + Mecklenburg County; girls + adaptive flag football
